district,total_biometric
?,1
ANGUL,5
ANUGUL,245
Adilabad,132321
Agar Malwa,16813
Agra,235048
Ahilyanagar,17
Ahmadabad,15682
Ahmadnagar,363561
Ahmed Nagar,5839
Ahmedabad,405490
Aizawl,37677
Ajmer,141858
Akhera,1
Akola,185085
Alappuzha,87629
Aligarh,199500
Alipurduar,7625
Alirajpur,62133
Allahabad,258910
Alluri Sitharama Raju,18607
Almora,32409
Alwar,223449
Ambala,72756
Ambedkar Nagar,87220
Amethi,93271
Amravati,338283
Amreli,68514
Amritsar,155008
Amroha,92672
Anakapalli,6723
Anand,113695
Anantapur,93565
Ananthapur,84132
Ananthapuramu,109602
Anantnag,47569
Andamans,2015
Angul,64050
Anjaw,1171
Annamayya,9712
Anugal,4
Anugul,1860
Anugul  *,1
Anuppur,71350
Araria,155444
Ariyalur,77473
Arvalli,29669
Arwal,30704
Ashok Nagar,74376
Auraiya,63181
Auraiya *,1
Aurangabad,407803
Aurangabad(BH),10
Aurangabad(bh),222
Ayodhya,7391
Azamgarh,173398
BALANGIR,1
Badgam,14141
Bagalkot,77134
Bagalkot *,1725
Bageshwar,21495
Baghpat,58029
Bagpat,8
Bahraich,181078
Bajali,23
Baksa,17455
Balaghat,126762
Balangir,101045
Baleshwar,24836
Baleswar,104674
Ballari,37360
Ballia,133005
Bally Jagachha,5
Balod,81215
Baloda Bazar,140747
Balotra,6
Balrampur,154355
Banas Kantha,547
Banaskantha,151757
Banda,92491
Bandipore,20373
Bandipur,1
Bangalore,198979
Bangalore Rural,38035
Banka,98227
Bankura,108049
Banswara,93711
Bapatla,5982
Bara Banki,165242
Barabanki,4224
Baramula,61935
Baran,80256
Barddhaman,181126
Bardez,40
Bardhaman,14175
Bareilly,234808
Bargarh,81807
Barmer,196765
Barnala,35539
Barpeta,95421
Barwani,143427
Bastar,94384
Basti,109201
Bathinda,96740
Baudh,4845
Beawar,8
Beed,255495
Begusarai,147208
Belagavi,79001
Belgaum,111069
Bellary,68247
Bemetara,111710
Bengaluru,297075
Bengaluru Rural,10
Bengaluru South,146
Betul,155822
Bhabua,33
Bhadohi,6540
Bhadradri Kothagudem,21603
Bhadrak,97680
Bhagalpur,148314
Bhandara,102204
Bharatpur,141155
Bharuch,76378
Bhavnagar,141152
Bhilwara,120019
Bhind,83365
Bhiwani,95625
Bhojpur,96996
Bhopal,186438
Bid,9892
Bidar,79708
Bijapur,82994
Bijapur(KAR),13
Bijnor,217048
Bikaner,130871
Bilaspur,216943
Birbhum,110194
Bishnupur,30309
Biswanath,9548
Bokaro,108429
Bokaro *,3
Bongaigaon,36608
Botad,16256
Boudh,24307
Budaun,110318
Budgam,23111
Bulandshahar,220
Bulandshahr,180832
Buldana,35737
Buldhana,219501
Bundi,62857
Burdwan,5
Burhanpur,74141
Buxar,57028
Cachar,66145
Central Delhi,54060
Chamarajanagar,1845
Chamarajanagar *,62
Chamba,33842
Chamoli,28402
Champawat,23214
Champhai,15968
Chamrajanagar,28965
Chamrajnagar,2252
Chandauli,90544
Chandauli *,1
Chandel,8683
Chandigarh,74462
Chandrapur,213634
Changlang,8183
Charaideo,8293
Charkhi Dadri,9788
Chatra,67692
Chatrapati Sambhaji Nagar,2204
Chengalpattu,6248
Chennai,233031
Chhatarpur,158531
Chhatrapati Sambhajinagar,4867
Chhindwara,140191
Chhotaudepur,33802
Chickmagalur,21919
Chikkaballapur,41933
Chikkamagaluru,15176
Chikmagalur,1385
Chirang,27087
Chitradurga,61227
Chitrakoot,62732
Chittaurgarh,2238
Chittoor,251405
Chittorgarh,62598
Chumukedima,651
Churachandpur,18812
Churu,133224
Coimbatore,219722
Cooch Behar,45164
Cuddalore,168111
Cuddapah,170796
Cuttack,141068
Dadra & Nagar Haveli,553
Dadra and Nagar Haveli,29213
Dahod,115675
Dakshin Bastar Dantewada,27211
Dakshin Dinajpur,44659
Dakshina Kannada,78051
Daman,5966
Damoh,134483
Dantewada,18928
Darbhanga,210380
Darjeeling,40102
Darjiling,2586
Darrang,26265
Datia,47034
Dausa,106330
Davanagere,6251
Davangere,89432
Debagarh,16252
Deeg,142
Deeg ,16
Dehradun,129280
Deoghar,67426
Deoria,138613
Devbhumi Dwarka,25464
Dewas,119901
Dhalai,34968
Dhalai  *,647
Dhamtari,90278
Dhanbad,151069
Dhar,146391
Dharashiv,643
Dharmapuri,104858
Dharwad,87821
Dhaulpur,400
Dhemaji,20730
Dhenkanal,77647
Dholpur,74417
Dhubri,59475
Dhule,197854
Dibang Valley,471
Dibrugarh,26735
Didwana-Kuchaman,8
Dima Hasao,25
Dimapur,25223
Dindigul,186123
Dindori,61476
Diu,3536
Doda,36779
Dohad,15716
Domjur,3
Dr. B. R. Ambedkar Konaseema,7306
Dumka,76212
Dungarpur,86558
Durg,179851
East,5523
East Champaran,212134
East Delhi,122805
East Garo Hills,2724
East Godavari,301850
East Jaintia Hills,2782
East Kameng,4297
East Khasi Hills,21004
East Midnapore,26698
East Midnapur,13
East Nimar,40363
East Siang,3321
East Sikkim,4089
East Singhbhum,136106
East midnapore,5
Eastern West Khasi Hills,8
Eluru,8230
Ernakulam,148755
Erode,147495
Etah,87429
Etawah,79095
Faizabad,94916
Faridabad,118951
Faridkot,39412
Farrukhabad,77196
Fatehabad,69794
Fatehgarh Sahib,37399
Fatehpur,117914
Fazilka,61395
Ferozepur,55330
Firozabad,113767
Firozpur,11480
Gadag,40725
Gadag *,1340
Gadchiroli,140665
Gajapati,59008
Ganderbal,13696
Gandhinagar,76564
Ganganagar,102528
Ganjam,188862
Garhwa,99458
Garhwa *,5584
Garhwal,337
Gariyaband,52088
Gaurela-pendra-marwahi,2289
Gautam Buddha Nagar,89439
Gautam Buddha Nagar *,2
Gaya,185172
Ghaziabad,192022
Ghazipur,145692
Gir Somnath,36766
Giridih,110410
Goalpara,27624
Godda,80934
Golaghat,20154
Gomati,14702
Gonda,152075
Gondia,865
Gondiya,96514
Gondiya *,1408
Gopalganj,103484
Gorakhpur,178164
Gulbarga,64465
Gumla,87878
Guna,132886
Guntur,291694
Gurdaspur,119235
Gurgaon,70791
Gwalior,127120
HOOGHLY,32
HOWRAH,30
Hailakandi,21123
Hamirpur,78506
Hanumakonda,9017
Hanumangarh,96633
Haora,27755
Hapur,56755
Harda,37769
Harda *,10172
Hardoi,205097
Hardwar,895
Haridwar,134636
Hasan,9682
Hassan,47012
Hathras,80404
Haveri,68328
Haveri *,1417
Hawrah,13
Hazaribag,7734
Hazaribagh,74932
Hingoli,117064
Hingoli *,9
Hisar,115867
Hnahthial,17
Hojai,29002
Hooghiy,7
Hooghly,160790
Hoshangabad,97056
Hoshiarpur,92764
Howrah,99356
Hugli,439
Hyderabad,334285
Idukki,47933
Imphal East,59274
Imphal West,61311
Indore,221624
JAJPUR,36548
Jabalpur,158664
Jagatsinghapur,48402
Jagatsinghpur,12093
Jagitial,10745
Jaintia Hills,8
Jaipur,355884
Jaisalmer,44977
Jajapur,60113
Jajpur,286
Jalandhar,141270
Jalaun,74682
Jalgaon,417384
Jalna,192692
Jalor,99786
Jalore,20
Jalpaiguri,80643
Jammu,98799
Jamnagar,81102
Jamtara,39641
Jamui,82157
Jangaon,280
Jangoan,7279
Janjgir - Champa,200
Janjgir Champa,192
Janjgir-champa,180654
Jashpur,74603
Jaunpur,183080
Jayashankar Bhupalpally,4568
Jehanabad,37430
Jhabua,88726
Jhajjar,56639
Jhalawar,80112
Jhansi,112005
Jhargram,4006
Jharsuguda,25856
Jhunjhunu,1941
Jhunjhunun,110392
Jind,91268
Jiribam,1966
Jodhpur,219033
Jogulamba Gadwal,11330
Jorhat,16279
Junagadh,102672
Jyotiba Phule Nagar,177
K.V.Rangareddy,773
K.v. Rangareddy,248985
KOLKATA,2
Kabeerdham,32517
Kachchh,123961
Kaimur (Bhabua),78157
Kaithal,79936
Kakching,2047
Kakinada,11698
Kalaburagi,70137
Kalahandi,94924
Kalimpong,723
Kallakurichi,4818
Kamareddy,15241
Kamle,143
Kamrup,43252
Kamrup Metro,26762
Kancheepuram,233919
Kanchipuram,9
Kandhamal,59939
Kangra,89913
Kanker,53209
Kannauj,71653
Kanniyakumari,69432
Kannur,119399
Kanpur Dehat,75626
Kanpur Nagar,181438
Kanyakumari,29748
Kapurthala,54103
