district,total_enrolment,total_biometric,total_population,enrol_norm,bio_norm,demo_norm,governance_risk_score
100000,218,0.0,1.0,0.004967152699887838,0.0,2.2783869931443334e-06,0.2019864054025565
24 Paraganas North,6147,0.0,0.0,0.14068258291940394,0.0,0.0,0.2562730331677616
24 Paraganas South,490,0.0,0.0,0.011193261153203468,0.0,0.0,0.2044773044612814
ANGUL,1,5.0,9.0,0.0,8.254066778701866e-06,2.0505482938299e-05,0.19999920053012382
ANUGUL,13,245.0,140.0,0.00027468125529333664,0.0004044492721563915,0.0003189741790402067,0.20020785737517185
Adilabad,4406,132321.0,73478.0,0.10083091079726234,0.21843727404492194,0.16741131948225932,0.2942250100404219
Agar Malwa,2537,16813.0,9742.0,0.05804930528532515,0.027755124950062895,0.022196046087212096,0.2298825628767128
Agra,29910,235048.0,171023.0,0.6846201387140339,0.38802037764006325,0.38965657872852333,0.5511248907959343
Ahilyanagar,13,17.0,2035.0,0.00027468125529333664,2.8063827047586346e-05,0.004636517531048719,0.19919379452672661
Ahmadabad,6667,15682.0,7470.0,0.15258543731544855,0.025888055044720533,0.01701955083878817,0.26798548677631
Ahmadnagar,11836,363561.0,222320.0,0.27090438803305333,0.6001713544263259,0.5065309963158482,0.4471240977205821
Ahmed Nagar,340,5839.0,5397.0,0.007759745462036761,0.00963909918416804,0.012296454601999967,0.20450024693808191
Ahmedabad,19130,405490.0,262139.0,0.43786481104218644,0.669388307619164,0.5972540879958624,0.5234504298653677
Ahmednagar,368,0.0,0.0,0.008400668391054546,0.0,0.0,0.20336026735642182
Aizawl,1059,37677.0,12778.0,0.02421773067502918,0.06219769480423004,0.029113228998398293,0.22874352439202403
Ajmer,12135,141858.0,122395.0,0.2777485293107789,0.23418108101861787,0.27886317602590066,0.34899920892657865
Akola,4708,185085.0,60474.0,0.10774372238881132,0.305540789947207,0.13778317502341042,0.33775716992972526
Alappuzha,3559,87629.0,35667.0,0.08144299219447433,0.14465912355017316,0.08126322888447894,0.27418820052096327
Aligarh,26192,199500.0,181537.0,0.5995147297823151,0.32933726447020445,0.41361153957444285,0.4888184897861193
Alipurduar,3673,7625.0,10604.0,0.08405246411976103,0.012587451837520346,0.024160015675302512,0.23382396324785207
Alirajpur,7010,62133.0,21080.0,0.16043674319591641,0.10256998623221661,0.04802839781548255,0.2955970122081567
Allahabad,13249,258910.0,182158.0,0.3032481058438437,0.42741208593474006,0.4150264178971855,0.4092587931319964
Alluri Sitharama Raju,1255,18607.0,12554.0,0.028704191178153683,0.030716684110261124,0.02860287031193396,0.21804777605297915
Almora,1367,32409.0,15413.0,0.03126788289422482,0.05350121004618976,0.03511677872533361,0.22688428143109912
Alwar,23383,223449.0,142212.0,0.5352164259390665,0.36887259352683066,0.32401397106904195,0.4968328135725505
Ambala,3218,72756.0,32448.0,0.073637466523222,0.1201065765102466,0.07392910115354732,0.262711796982678
Ambedkar Nagar,8002,87220.0,73965.0,0.18314372696683223,0.14398394088767535,0.1685208939479206,0.2971468883522189
Amethi,7197,93271.0,74555.0,0.1647171927575709,0.15397301250326034,0.16986514227387578,0.29350305364955737
Amravati,6915,338283.0,94098.0,0.1582621832581775,0.5584420944199207,0.21439165928089549,0.4438033792150602
Amreli,4293,68514.0,26964.0,0.09824432897658342,0.11310382625519594,0.0614344268831438,0.27225237671608304
Amritsar,9655,155008.0,98044.0,0.22098106988348937,0.25588927664660377,0.223382174355843,0.34607170374086865
Amroha,8142,92672.0,88247.0,0.18634834161192118,0.15298417530317188,0.201060816984008,0.2955208433692356
Anakapalli,543,6723.0,13062.0,0.012406436697415707,0.01109841819064253,0.029760290904451283,0.20344988377433304
Anand,6980,113695.0,38359.0,0.15975004005768306,0.18768922448090175,0.08739664667002349,0.32149637648142926
Anantapur,4415,93565.0,67011.0,0.10103692173873234,0.15445835162984803,0.15267699079759492,0.2716627111879132
Ananthapur,1994,84132.0,29253.0,0.04561997848330167,0.1388862292451491,0.06664965471045119,0.2604725521492901
Ananthapuramu,3187,109602.0,54680.0,0.07292787328038089,0.1809324454158564,0.12458220078513214,0.2766276873214685
Anantnag,3354,47569.0,34718.0,0.07675052074987983,0.07852754051921382,0.07910103962798497,0.24629101658204047
Andamans,75,2015.0,718.0,0.0016938677409755762,0.003326388911816852,0.0016358818610776313,0.20168092628890147
Angul,3009,64050.0,28943.0,0.06885343466019639,0.10573459543517091,0.06594335474257644,0.25664654108963164
Anjaw,37,1171.0,760.0,0.00082404376588001,0.001933102439571977,0.0017315741147896934,0.20075654365922288
Annamayya,1021,9712.0,32974.0,0.023347906699933616,0.016032699310950506,0.07512753271194125,0.2007267358619654
Anugal,3,4.0,11.0,4.578020921555612e-05,6.603253422961493e-06,2.506225692458767e-05,0.2000159409336705
Anugul,194,1860.0,1625.0,0.004417790189301165,0.0030705128416770944,0.0037023788638595417,0.2022548454396194
